name,administrative_unit,last_update,county,acres_burned,status_notes,location,date_started,date_only,time_24hh
Pleasant Fire ,CAL FIRE Nevada-Yuba-Placer Unit,1/9/18 12:48,Nevada County,,,"Off Hwy 49 & Pleasant Valley Rd, south of North San Juan  ",8/30/17 15:38,8/30/17,15:38:00
Pleasant Fire ,Unified Command: CAL FIRE San Bernardino Unit and Inyo County Sheriff's Office,1/3/19 9:43,Inyo County,,,"Pleasant Valley Dam Road and Hwy 395, north of Bishop",2/18/18 14:12,2/18/18,14:12:00
Plymouth Fire / Big Fire,CDF Amador- El Dorado Unit,8/29/06 19:00,Plymouth (Amador) / Big (El Dorado),,"Plymouth - 100% contained, 42 acresBig - 100% contained, 7 acres",Plymouth - 1-1/2 miles N. of PlymouthBig - Big Cut Road & Oak Hill.,8/28/06 12:00,8/28/06,12:00:00
Pocket Fire (Central LNU Complex) ,CAL FIRE Sonoma-Lake-Napa Unit,2/9/18 9:32,Sonoma County,,,"off of Pocket Ranch Rd and Ridge Ranch Rd, Geyserville ",10/9/17 3:30,10/9/17,3:30:00
Point Fire ,CAL FIRE Shasta-Trinity Unit,8/4/15 8:15,Shasta County,,,"Gas Point and Happy Valley Rd, west of Cottonwood",8/3/15 14:28,8/3/15,14:28:00
Point Fire ,CAL FIRE Tuolumne-Calaveras Unit,1/9/18 13:33,Calaveras County,,,"Hwy 26 and Higdon Rd., West Point",10/9/17 1:10,10/9/17,1:10:00
Ponderosa Fire,CAL FIRE / Butte County Fire,8/30/18 15:27,Butte County,,,"Ponderosa way and Lumpkin road, 2 miles NW of Forbestown ",8/29/17 13:16,8/29/17,13:16:00
Power Fire ,El Dorado National Forest,11/10/04 16:00,El Dorado,,100%,,10/6/04 14:11,10/6/04,14:11:00
Pressley Fire (Central LNU Complex) ,CAL FIRE Sonoma-Lake-Napa Unit,1/9/18 13:34,Sonoma County,,,east of Rohnert Park,10/9/17 1:30,10/9/17,1:30:00
Putah Fire ,CAL FIRE Sonoma-Lake-Napa Unit,10/4/13 16:55,Napa County,,,off Berryessa Knoxville Rd near Lake Berryessa,10/3/13 20:33,10/3/13,20:33:00
Quail Fire ,CAL FIRE Tuolumne-Calaveras Unit,1/9/18 11:53,Calaveras County,,,Quail Oaks Rd. and Oak Hill Dr. near Valley Springs ,7/12/17 13:10,7/12/17,13:10:00
Quartz Fire ,CDF Madera-Mariposa-Merced Unit,7/27/05 7:00,Madera,,100%,2 miles east of Coursegold,7/25/05 12:06,7/25/05,12:06:00
Queen Fire ,CAL FIRE Humboldt-Del Norte Unit,8/1/15 21:45,Humboldt County,,,"off Hwy 169 & McKinnon Hill Rd, 5 miles southeast of Pecwan",7/24/15 23:00,7/24/15,23:00:00
Ranch Fire ,Angeles National Forest,11/1/07 18:30,Los Angeles County,,100%,"Near Townsand Peak, southwest of Templin Highway and Interstate 5",10/20/07 21:42,10/20/07,21:42:00
Ranch Fire ,CAL FIRE Amador - El Dorado Unit,1/9/18 12:06,El Dorado County,,,"Ranch Camp Rd, Mt. Aukum",7/26/17 13:58,7/26/17,13:58:00
Ranch Fire (Mendocino Complex) ,USFS Mendocino National Forest ,1/4/19 9:33,"Colusa County,Glenn County,Lake County,Mendocino County",,,"off Highway 20 near Potter Valley, northeast of Ukiah ",7/27/18 12:05,7/27/18,12:05:00
Range Fire ,CAL FIRE Mendocino Unit,1/9/18 11:58,Mendocino County,,,"on Cow Mountain, west of Ukiah ",7/17/17 12:37,7/17/17,12:37:00
Range Fire,Department of Defense - Camp Roberts,1/9/18 10:05,San Luis Obispo County,,***This is not a CAL FIRE incident,"off of San Antonio Drive and Hwy 101, Camp Roberts",5/19/17 13:10,5/19/17,13:10:00
Rattlesnake Fire,Yosemite National Park,1/9/18 13:19,Mariposa County,,***This is not a CAL FIRE incident. Click the link above for more information from Yosemite National Park ,Hwy 120 and Big Oak Flat Road near Foresta,9/7/17 15:00,9/7/17,15:00:00
Rebie Fire ,CAL FIRE Butte Unit ,1/9/18 11:53,Butte County,,,"Off Rebie way and Forbestown Rd, south east of Lake Oroville",7/12/17 13:55,7/12/17,13:55:00
Recycle Fire ,CAL FIRE San Diego Unit,1/4/19 10:11,San Diego County,,,"Off Hwy 94 and Campo Truck Trail, Campo",6/6/18 9:46,6/6/18,9:46:00
Redwood Valley Fire (Mendocino Lake Complex) ,CAL FIRE Mendocinio Unit,2/9/18 8:56,Mendocino County,,,"North of Hwy 20, west of Mendocino National Forest, south of Black Bart",10/8/17 23:36,10/8/17,23:36:00
Reed Fire ,CAL FIRE/Riverside County Fire/San Bernardino National Forest ,1/9/18 12:23,Riverside County,,,Reed Valley Rd. and Forest Route 7S04 in Aguanga,8/7/17 14:14,8/7/17,14:14:00
Refuge Fire ,Sonoma-Lake Napa Unit,1/9/18 10:31,Napa County,,,"Knoxville Rd and Eastside Rd, north end of Lake Berryessa ",6/13/17 10:18,6/13/17,10:18:00
Ridge Fire ,CAL FIRE Sonoma-Lake-Napa Unit,1/9/18 13:29,Lake County,,,"Bartlett Springs, community of Clearlake",10/6/17 14:38,10/6/17,14:38:00
Rincon Fire ,CAL FIRE San Mateo - Santa Cruz Unit,1/4/19 8:50,Santa Cruz County,,,"off Highway 9 and Rincon Crossing, north of Santa Cruz  ",11/3/18 21:28,11/3/18,21:28:00
Riosa Fire ,CAL FIRE Nevada-Yuba-Placer Unit,6/8/15 11:45,Placer County ,,,"Riosa Rd & Thousand Oaks Dr, north of Lincoln",6/8/15 10:33,6/8/15,10:33:00
River Fire (Mendocino Complex) ,Unified command: CAL FIRE Mendocino Unit and USFS Mendocino National Forest ,1/4/19 9:18,"Colusa County,Lake County,Mendocino County",,,"Old River Rd, near Mile Marker Post 7.9, Hopland ",7/27/18 13:01,7/27/18,13:01:00
Rock Fire ,CAL FIRE San Diego Unit,7/24/16 14:30,San Diego County,,,"off Highway 67 & Rockhouse Road, near Ramona",7/22/16 14:47,7/22/16,14:47:00
Rock Fire ,CAL FIRE San Diego Fire Authority,1/4/19 9:31,San Diego County,,,Rock Mountain Dr. and Sandia Creek Dr. in the community of Fallbrook. ,7/28/18 15:14,7/28/18,15:14:00
Rocky Fire ,CAL FIRE Sonoma-Lake-Napa Unit,8/14/15 18:15,Lake County,,13-Aug-15,"ear Morgan Valley Road and Rocky Creek Road, east of Clear Lake",7/29/15 15:29,7/29/15,15:29:00
Rose Fire ,CAL FIRE/Kern County Fire,1/9/18 12:31,Kern County,,,"I-5 Freeway and Grapevine Rd, north of the Grapevine",8/10/17 14:32,8/10/17,14:32:00
Round Fire ,CAL FIRE San Bernardino Unit,2/12/15 7:35,Inyo and Mono counties,,,Westside of Highway 395 at the Sherwin Grade,2/6/15 14:07,2/6/15,14:07:00
Roxie Fire (Formerly 1-1 Fire) ,CAL FIRE Lassen-Modoc Unit / Lassen National Forest,1/4/19 9:35,Lassen County,,,"Roxie Peconom Campground, west of Willard Cr, 10 mi west of Susanville",7/24/18 16:02,7/24/18,16:02:00
Rumsey Fire ,CDF Sonoma-Lake-Napa Unit,6/6/05 12:16,Yolo,,100%,Rumsey Canyon,6/2/05 15:27,6/2/05,15:27:00
Rye Fire ,"Unified Command: CAL FIRE, Los Angeles County Fire, Ventura County Fire, Los Angeles County Sheriff's Office, and Ventura County Sheriff's Office",1/18/18 9:58,Los Angeles County,,,"along Rye Canyon Loop, west Valencia",12/5/17 11:31,12/5/17,11:31:00
Saddle Fire ,CAL FIRE / Butte County Fire,9/12/16 14:51,Butte County,,,"Off Pentz Rd & Lime Saddle Rd, south of Paradise",9/5/16 16:28,9/5/16,16:28:00
Salmon-August Complex ,CAL FIRE Siskiyou Unit / Klamath National Forest,1/9/18 11:07,Siskiyou County,,*** This is not a CAL FIRE incident. Click the link for more information. ,"14 miles west of Etna, California in the Marble Mountain Wilderness",6/25/17 17:00,6/25/17,17:00:00
Sand Fire ,CAL FIRE Amador-El Dorado Unit,8/2/14 19:15,Amador / El Dorado Counties,,,"East of Highway 49, 5 miles north of Plymouth",7/25/14 16:34,7/25/14,16:34:00
Sand Fire ,CAL FIRE Sonoma-Lake-Napa Unit,1/9/18 11:58,Colusa County,,,"Sand Creek Rd, west of Arbuckle",7/17/17 13:17,7/17/17,13:17:00
Sand Fire,Kern County Fire ,7/18/12 15:45,Kern County,,This is NOT a CAL FIRE Incident.** Click the link above for information from Kern County Fire.,"ear Sand Canyon Road and Highway 58, Tehachapi",7/17/12 13:00,7/17/12,13:00:00
Sand Fire,Los Angeles Fire Department ,8/9/16 17:15,Los Angeles County,,"**This is NOT a CAL FIRE incident. For more information, click on the link above.","ear 14 Fwy & Sand Canyon Rd, Santa Clarita",7/22/16 14:11,7/22/16,14:11:00
Santa Clara Complex ,CDF Santa Clara Unit,9/3/03 19:00,Santa Clara,,100%,Mt. Diablo Range between Gilroy and Brentwood,8/25/03 22:00,8/25/03,22:00:00
Santos Fire ,CAL FIRE Butte Unit,8/30/16 18:40,Butte County,,,"off Hwy 32 at Santos Ranch Rd, south of Forest Ranch",8/26/16 15:30,8/26/16,15:30:00
Sawmill Fire ,CAL FIRE Sonoma-Lake-Napa Unit,9/29/16 17:00,Sonoma County,,,"off Big Geysers Road and Geysers Resort Road, 10 miles east of Cloverdale",9/25/16 10:43,9/25/16,10:43:00
School Fire ,Ventura County,11/22/05 18:00,Ventura,,100%,North of the city of Ventura,11/18/05 3:33,11/18/05,3:33:00
September Lightning Series Fires ,Multiple CAL FIRE Administrative Units,9/14/09 7:00,Multiple Counties,,81 confirmed fires -  all 100% contained,Across northern and central California,9/12/09 5:00,9/12/09,5:00:00
Serpa Fire ,CAL FIRE Madera-Mariposa-Merced Unit,7/25/16 19:20,Madera County,,,off Hwy 41 northeast of Coarsegold,7/21/16 12:53,7/21/16,12:53:00
Sesnon Fire ,CAL FIRE / LA County Fire Department / LA City Fire Department / Ventura County Fire Department ,10/18/08 8:00,Los Angeles County,,100%,"Porter Ranch Community, Twin Lakes and Indian Hills area",10/13/08 10:38,10/13/08,10:38:00
Sherpa Fire ,U.S Los Padres National Forest ,7/12/16 14:30,Santa Barbara County,,,west of Goleta,6/15/16 15:21,6/15/16,15:21:00
Shore Fire ,CAL FIRE San Benito-Monterey Unit,1/9/18 10:34,Monterey County,,,"Jolon Rd and Frudden Rd, near Lockwood",6/16/17 15:49,6/16/17,15:49:00
Silver Fire ,CAL FIRE Riverside Unit / San Bernardino National Forest,8/12/13 18:00,Riverside County,,,"Poppet Flats Rd near Hwy 243, south of Banning",8/7/13 14:05,8/7/13,14:05:00
Silver Fire ,CAL FIRE Fresno-Kings Unit,1/9/18 13:36,Fresno County,,,"Elwood Road and Silver Lane, northwest of Squaw Valley",10/11/17 15:59,10/11/17,15:59:00
Silver Fire ,CAL FIRE Shasta-Trinity Unit,1/4/19 8:58,Shasta County,,,"Oak Run Rd and Little Ridge Rd, Palo Cedro",9/28/18 14:44,9/28/18,14:44:00
Silverado Fire ,CAL FIRE Sonoma-Lake-Napa Unit,11/23/13 18:30,Napa County,,,Off Silverado Trail in the Soda Canyon area near Napa,11/21/13 21:39,11/21/13,21:39:00
Simi Fire ,Ventura County,11/5/03 10:00,Ventura,,100%,Simi Valley / Moorpark,10/25/03 14:15,10/25/03,14:15:00
Simmons Fire ,CAL FIRE Butte Unit,1/4/19 9:40,Butte County,,,"Off Highway 162 & Simmons Rd, Lake Oroville",7/19/18 12:00,7/19/18,12:00:00
Sims Fire,Six Rivers National Forest,8/5/04 12:41,Trinity,,100%,Grouse Creek Northwest of Hyampom,7/28/04 12:00,7/28/04,12:00:00
Siskiyou County Lightning Fires ,CAL FIRE Siskiyou Unit,8/2/14 11:00,Siskiyou County,,,Throughout Siskiyou County,7/29/14 13:00,7/29/14,13:00:00
Skeggs Fire ,CAL FIRE San Mateo-Santa Cruz Unit ,1/9/18 13:20,San Mateo County,,9/15/17,"Skyline Rd and Skeggs Point, 3 miles west of Woodside",9/11/17 19:41,9/11/17,19:41:00
Skirball Fire ,Los Angeles City Fire,1/23/18 8:11,Los Angeles County,,,N Sepulveda Blvd at I-405,12/6/17 6:31,12/6/17,6:31:00
Sky Fire ,CAL FIRE Sonoma-Lake-Napa,7/8/15 20:45,Solano County,,,"Mix Canyon Rd & Sky Ranch Road, northwest of Vacaville",7/6/15 10:47,7/6/15,10:47:00
Sliger Fire ,CAL FIRE Amador-El Dorado Unit,1/4/19 9:09,El Dorado County,,,"Sliger Mine Rd and Hida Way, northwest of Georgetown",9/4/18 15:03,9/4/18,15:03:00
Snell Fire ,CAL FIRE Sonoma-Lake-Napa Unit,1/4/19 9:06,Napa County,,,"off Butts Canyon Rd and Snell Valley Rd, southeast of Middletown",9/8/18 14:29,9/8/18,14:29:00
Soberanes Fire ,US Forest Service - Los Padres National Forest,10/13/16 11:30,Monterey County,,,"Soberanes Creek, Garrapata State Park, Palo Colorado, north of Big Sur",7/22/16 8:48,7/22/16,8:48:00
Soboba Fire ,CDF Riverside Unit/Riverside County Fire,6/25/05 8:00,Riverside,,100%,"Soboba at Lake Park, San Jacinto",6/22/05 12:00,6/22/05,12:00:00
Soda Fire,Bureau of Land Management ,6/19/16 8:30,San Luis Obispo County,,**This is NOT a CAL FIRE incident. For more information visit Inciweb,Off Soda Lake Road north of Cuyama,6/4/16 17:46,6/4/16,17:46:00
Sonoma-Lake-Napa Unit Lightning Fires ,CAL FIRE Sonoma-Lake-Napa Unit,6/14/13 15:45,"Sonoma, Solano, Lake & Colusa Counties",,28 total small fires - 100% contained,"throughout Sonoma, Solano, Lake & Colusa Counties",6/10/13 0:46,6/10/13,0:46:00
South Napa Earthquake,CAL FIRE / Napa County Fire,8/31/14 18:00,Napa County,,6.0 magnitude earthquake,City and County of Napa,8/24/14 3:20,8/24/14,3:20:00
Southern California Flooding ,,12/25/10 10:00,Southern California,,A series of significant winter storms in Southern California. ,Throughout Southern California,12/18/10 8:00,12/18/10,8:00:00
Spenceville Fire ,CAL FIRE Nevada-Yuba-Placer Unit,1/9/18 12:05,Yuba County,,,"Spenceville Rd & Monarch Trail Dr, Wheatland",7/24/17 14:56,7/24/17,14:56:00
Spider Fire ,CAL FIRE Riverside County Fire,7/12/15 19:48,Riverside County,,,"San Timoteo Canyon Rd and Redlands Blvd, northeast of Moreno Valley",7/12/15 13:52,7/12/15,13:52:00
Spring Fire ,CAL FIRE Madera-Mariposa-Merced Unit,1/9/18 11:17,Mariposa County,,,"off Hwy 49 and Allred Road, south of Mariposa",7/2/17 13:36,7/2/17,13:36:00
Steamboat Fire ,CAL FIRE Siskiyou Unit,1/4/19 9:44,Siskiyou County,,,"Shasta Valley Wildlife Area, 4 miles south east of Montague ",7/15/18 9:58,7/15/18,9:58:00
Steele Fire ,CAL FIRE Sonoma-Lake-Napa Unit,1/4/19 9:30,Napa County,,,"off Arroyo Grande Drive and Steele Canyon Road, Capell",7/28/18 16:30,7/28/18,16:30:00
Stevens Fire ,CDF Nevada-Yuba-Placer Unit,8/11/04 19:00,Placer,,100%,Northeast of Colfax,8/8/04 13:36,8/8/04,13:36:00
Stoll Fire ,CAL FIRE Tehama-Glenn Unit,1/4/19 10:02,Tehama County,,,"Stoll Rd & Baker Rd, west of Red Bluff",6/23/18 12:52,6/23/18,12:52:00
Stone Fire ,CAL FIRE San Luis Obispo Unit,1/9/18 11:51,San Luis Obispo County,,,"Huer Huero Road, east of Santa Margarita",7/9/17 13:49,7/9/17,13:49:00
Stoney Fire ,Chico City Fire,1/4/19 9:48,Butte County,,,"Bidwell Park, Upper Park Rd, Chico",7/12/18 22:45,7/12/18,22:45:00
Stony Fire ,CAL FIRE Sonoma-Lake-Napa Unit,1/4/19 9:56,Colusa County,,,"off Stonyford Road and Lake Park, west of Maxwell   ",7/4/18 13:14,7/4/18,13:14:00
Storksbill Fire ,CAL FIRE Amador-El Dorado Unit,7/23/16 18:00,El Dorado County,,,off Storksbill Rd in Pilot Hill ,7/22/16 13:15,7/22/16,13:15:00
Straylor Fire ,CDF Lassen-Modoc Unit,7/30/04 6:00,Lassen,,100%,20 miles southeast of Fall River Mills,7/22/04 16:03,7/22/04,16:03:00
Sulphur Fire (Mendocino Lake Complex) ,CAL FIRE Sonoma-Lake-Napa Unit,2/9/18 9:29,Lake County,,,"off Hwy 20 and Sulphur Bank Road, Clearlake Oaks",10/8/17 23:59,10/8/17,23:59:00
Summit Fire ,CAL FIRE Butte Unit,10/5/13 22:00,Butte County,,,off District Center Dr & Fortune Way in Palermo,10/4/13 17:37,10/4/13,17:37:00
Sun Fire ,CAL FIRE Tehama-Glenn Unit,1/4/19 8:57,Tehama County,,,"Hwy 36 and Sunriver Road, east of Red Bluff",10/7/18 12:51,10/7/18,12:51:00
Sunny Fire ,CAL FIRE / Fresno County Fire,9/6/16 18:15,Fresno County,,,off Sunnyslope Rd & Lakeside Ln near the Pine Flat Lake Reservoir,9/3/16 14:44,9/3/16,14:44:00
Swedes Fire ,CAL FIRE Butte Unit,8/22/13 18:00,Butte County,,Thursday 8/22,outheast of Oroville,8/16/13 16:37,8/16/13,16:37:00
Swedes Fire ,CAL FIRE Butte Unit,8/3/15 17:00,Butte County,,,"Swedes Flat Road, 3 miles north of Bangor",7/29/15 11:25,7/29/15,11:25:00
Tassajara Fire ,CAL FIRE San Benito-Monterey Unit,9/27/15 18:15,Monterey County,,9/27/15,Tassajara Rd at Carmel Valley Rd,9/19/15 15:00,9/19/15,15:00:00
Temecula Fire ,CAL FIRE Riverside County Fire,6/7/16 18:15,Riverside County,,,Off I-15 south of Temecula Parkway,6/4/16 11:40,6/4/16,11:40:00
Tesla Fire ,CAL FIRE Santa Clara Unit,8/22/15 18:30,Alameda County,,,"off Tesla Rd near Correl Hollow, between Livermore and Tracy",8/19/15 14:45,8/19/15,14:45:00
Thomas Fire ,US Forest Service - Los Padres National Forest ,3/14/19 11:24,"Santa Barbara County,Ventura County",,,"Hwy 150 and Hwy 126, north of Santa Paula ",12/4/17 18:28,12/4/17,18:28:00
Thurman Fire ,San Bernardino National Forest,10/7/05 18:00,San Bernardino,,100%,,9/29/05 13:23,9/29/05,13:23:00
Tomahawk Fire ,Marine Corps Base Camp Pendleton,5/19/14 9:20,San Diego County,,,"Traveled from Naval Weapons Station, Fallbrook and is now on Camp Pendleton ",5/14/14 9:45,5/14/14,9:45:00
Topanga Fire ,Los Angeles County Fire Deparment,10/6/05 6:00,Los Angeles,,100%,Chatsworth area (border of LA and Ventura Counties),9/28/05 13:50,9/28/05,13:50:00
Toro Fire ,CAL FIRE San Luis Obispo Unit,11/9/13 17:00,San Luis Obispo,,,"Toro Creek Rd. and Hwy 41 West, Morro Bay",11/8/13 10:30,11/8/13,10:30:00
Trailhead Fire ,CAL FIRE Nevada-Yuba-Placer Unit / El Dorado National Forest,7/18/16 9:50,"El Dorado County,Placer County",,,along the  Middle Fork of the American River near Todd Valley,6/28/16 13:55,6/28/16,13:55:00
Triangle Fire ,CAL FIRE Madera-Mariposa-Merced Unit,6/19/15 20:05,Mariposa County,,,"Triangle Rd and Nickel Plate Rd, north of Bootjack",6/18/15 12:03,6/18/15,12:03:00
Triple Fire ,CAL FIRE Tulare Unit,7/26/15 10:30,Tulare County,,,"Globe Dr and Mountain Rd, Springville",7/21/15 12:35,7/21/15,12:35:00
Tubbs Fire (Central LNU Complex) ,CAL FIRE Sonoma-Lake-Napa Unit,2/9/18 9:27,"Napa County,Sonoma County",,,"off of Hwy 128 and Bennett Ln, Calistoga",10/8/17 21:45,10/8/17,21:45:00
Tulloch Fire ,CAL FIRE Tuolumne-Calaveras Unit,6/1/16 19:45,Tuolumne County,,,"off New Peoria Flat Road and Old Melones Road, west of Sonora",5/30/16 15:10,5/30/16,15:10:00
Tully Fire ,CAL Fire Humboldt-Del Norte Unit,9/4/16 6:55,Humboldt County,,,"off of Hwy 169 & Martin's Ferry Rd, northwest of Weitchpec ",8/22/16 16:03,8/22/16,16:03:00
Tyler Fire ,CAL FIRE/Riverside County Fire Department,1/3/19 9:46,Riverside County,,,"Tyler Street and Vista Del Sur, Coachella, City of Coachella",4/15/18 4:38,4/15/18,4:38:00
Union Fire ,CAL FIRE Amador-El Dorado Unit,8/16/13 17:55,El Dorado,,,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",8/16/13 13:55,8/16/13,13:55:00
Valley Fire ,CAL FIRE Madera-Mariposa-Merced Unit,6/8/14 19:45,Mariposa County,,,"off Hunters Valley Road near the southeast shore of Lake McClure. Ã‚ Ã‚",6/6/14 17:29,6/6/14,17:29:00
Valley Fire ,CAL FIRE Sonoma-Lake-Napa Unit,10/15/15 19:45,,,,outhern Lake County,9/12/15 13:24,9/12/15,13:24:00
Valley Fire ,San Bernardino National Forest ,1/4/19 9:55,San Bernardino County,,,Valley of the Falls Dr & Service Road 1S08,7/6/18 13:29,7/6/18,13:29:00
Volcan Fire ,CDF San Diego Unit,9/13/05 7:00,San Diego,,100%,"On Volcan Mountain, west of Julian.",9/6/05 11:28,9/6/05,11:28:00
Walker Fire ,CAL FIRE Shasta-Trinity Unit,9/13/15 10:15,Shasta County,,,Windwalker Ln & Small Farms Dr in Igo,9/11/15 15:08,9/11/15,15:08:00
Wall Fire ,CAL FIRE Butte County Fire,1/9/18 11:47,Butte County,,7/15/17,"Chinese Wall Rd, north of Bangor",7/7/17 14:52,7/7/17,14:52:00
Warner Mountain Lightning,Modoc National Forest,1/9/18 12:04,Modoc County,,*** This is not a CAL FIRE incident. Click the link above for more information on this fire.,Warner Mountain Ranger District on the Modoc National Forest,7/23/17 0:00,7/23/17,0:00:00
Washington Fire,US Forest Service - Humboldt - Toiyabe National Forest,6/22/15 12:05,Alpine County,,***This is not a CAL FIRE incident. Click the link above for more information.,outh of Markleeville,6/19/15 19:00,6/19/15,19:00:00
Web Fire ,CAL FIRE Butte Unit,8/1/14 17:30,Butte County,,,Web Hollow & Big Chico Creek near Forest Ranch,7/28/14 13:11,7/28/14,13:11:00
West Fire ,"Unified Command: CAL FIRE San Diego, Alpine Fire District and Cleveland National Forest",1/4/19 9:55,San Diego County,,,"off I-8 & West Willows Rd, Community of Alpine",7/6/18 23:39,7/6/18,23:39:00
Wheeler Fire ,CAL FIRE Madera-Mariposa-Merced Unit,1/4/19 10:04,Mariposa County,,,"Wheeler Gulch & Hwy 49 South, southwest of Coulterville",6/18/18 12:30,6/18/18,12:30:00
Whitepine Fire ,CAL FIRE Siskiyou Unit,1/9/18 10:27,Siskiyou County,,,"Whitepine Road and Blue Heron Place, 10 miles east of Hornbrook ",6/6/17 16:38,6/6/17,16:38:00
Willard Fire ,CAL FIRE Lassen-Modoc Unit,9/22/16 7:00,Lassen County,,9/21 pm,"off of Willard Creek Road, west of Susanville",9/11/16 11:33,9/11/16,11:33:00
Willow Fire ,CAL FIRE Amador-El Dorado Unit,8/31/16 7:05,Amador County,,,"Off Highway 124 & Willow Creek Rd, 4 miles east of Ione",8/30/16 16:52,8/30/16,16:52:00
Willow Fire ,CAL FIRE Tuolumne-Calaveras Unit,8/31/16 18:50,Calaveras County,,,"Off Willow Creek Rd & Mountain Ranch Rd, east of San Andreas ",8/28/16 13:07,8/28/16,13:07:00
Winters Fire ,CAL FIRE Sonoma-Lake-Napa Unit ,1/9/18 11:45,Yolo County,,,"Hwy 128 and Pleasant View Rd, south west of Winters",7/6/17 12:41,7/6/17,12:41:00
Woolsey Fire ,Ventura County Fire Dept. and Los Angeles County Fire Dept.,1/4/19 8:42,"Los Angeles County,Ventura County",,,"E Street and Alfa Road Rd, South of Simi Valley",11/8/18 14:24,11/8/18,14:24:00
Wragg Fire ,CAL FIRE Sonoma-Lake-Napa Unit,8/5/15 17:30,,,,"Off of Hwy 128 near Greaves Rd, Lake Berryessa",7/22/15 14:24,7/22/15,14:24:00
Yorba Linda Fire ,CDF/Orange County Fire,7/9/05 6:00,Orange,,100%,1 mile north of Yorba Linda,7/5/05 14:06,7/5/05,14:06:00
